# Solar Reserve — History Export,24h,2026-05-05T23:13:41.878Z

# Current Input Snapshot (for reference)
entity_id,state,unit_of_measurement
sensor.ha_solar_reserve_overnight_load_tracker,0.0,kWh
sensor.ha_solar_reserve_average_overnight_load,12.74,kWh
sensor.ha_solar_reserve_daytime_load_tracker,0.0,kWh
sensor.ha_solar_reserve_average_daytime_load,12.75,kWh
sensor.ha_solar_reserve_calculated_surplus,21.91,kWh
sensor.ha_solar_reserve_energy_available,49.34,kWh
sensor.ha_solar_reserve_energy_required,27.43,kWh
sensor.ha_solar_reserve_solar_counted_today,44.38,kWh
sensor.ha_solar_reserve_current_battery_charge,4.96,kWh
sensor.ha_solar_reserve_night_data_days_collected,7,days
sensor.ha_solar_reserve_day_data_days_collected,7,days
sensor.ha_solar_reserve_battery_capacity,24.18,kWh
sensor.ha_solar_reserve_managed_load_usage,1.622,kWh
binary_sensor.ha_solar_reserve_permission,on,

# Current Permission Sensor Attributes
attribute,value
calculated_surplus_kwh,21.91
estimated_runtime_hours,7.3
dynamic_expected_load_kwh,25.01
tomorrow_deficit_kwh,0
avg_night_load_kwh,12.74
avg_day_load_kwh,12.75
raw_home_energy,1130.69
raw_managed_load,126.53076
raw_solar_today,44.3793
raw_solar_tomorrow,50.4322
raw_battery_percent,20.5
battery_sensor_type,percentage
is_night,false
dyn_rest_of_day_kwh,10.84
dyn_rest_of_night_kwh,12.74
dyn_morning_buffer_kwh,1.43
dyn_emergency_reserve_kwh,2.42
device_class,power
icon,mdi:sun-snowflake
friendly_name,HA Solar Reserve Permission

# Historical Data
timestamp,entity_id,display_name,state,unit_of_measurement
2026-05-04T23:53:51.492686+00:00,undefined,undefined,22.97,
2026-05-04T23:54:08.503111+00:00,undefined,undefined,23.01,
2026-05-04T23:54:26.451467+00:00,undefined,undefined,23.03,
2026-05-04T23:54:43.382817+00:00,undefined,undefined,23.05,
2026-05-04T23:55:00.161889+00:00,undefined,undefined,22.56,
2026-05-04T23:55:00.493556+00:00,undefined,undefined,22.58,
2026-05-04T23:55:06.892563+00:00,undefined,undefined,22.59,
2026-05-04T23:55:17.830427+00:00,undefined,undefined,22.62,
2026-05-04T23:55:34.364958+00:00,undefined,undefined,22.64,
2026-05-04T23:55:55.474168+00:00,undefined,undefined,22.66,
2026-05-04T23:56:07.479673+00:00,undefined,undefined,22.67,
2026-05-04T23:56:13.497128+00:00,undefined,undefined,22.7,
2026-05-04T23:56:25.416404+00:00,undefined,undefined,22.72,
2026-05-04T23:56:46.329836+00:00,undefined,undefined,22.75,
2026-05-04T23:57:03.537523+00:00,undefined,undefined,22.77,
2026-05-04T23:57:09.335055+00:00,undefined,undefined,22.78,
2026-05-04T23:57:20.469008+00:00,undefined,undefined,22.81,
2026-05-04T23:57:36.376061+00:00,undefined,undefined,22.83,
2026-05-04T23:57:52.354020+00:00,undefined,undefined,22.85,
2026-05-04T23:58:08.530726+00:00,undefined,undefined,22.86,
2026-05-04T23:58:14.467734+00:00,undefined,undefined,22.89,
2026-05-04T23:58:25.564570+00:00,undefined,undefined,22.91,
2026-05-04T23:58:48.439390+00:00,undefined,undefined,22.94,
2026-05-04T23:59:00.351160+00:00,undefined,undefined,22.96,
